Item_Purchased,Season,Gender,Total_Purchase_Amount,Total_Previous_Purchases,Current_Purchased
Backpack,Fall,Female,503,199,304
Backpack,Fall,Male,1505,529,976
Backpack,Spring,Female,489,180,309
Backpack,Spring,Male,1717,755,962
Backpack,Summer,Female,1014,327,687
Backpack,Summer,Male,1766,782,984
Backpack,Winter,Female,407,134,273
Backpack,Winter,Male,1235,464,771
Belt,Fall,Female,978,288,690
Belt,Fall,Male,1575,727,848
Belt,Spring,Female,658,326,332
Belt,Spring,Male,1700,735,965
Belt,Summer,Female,717,252,465
Belt,Summer,Male,1516,577,939
Belt,Winter,Female,856,363,493
Belt,Winter,Male,1635,609,1026
Blouse,Fall,Female,1117,512,605
Blouse,Fall,Male,1573,648,925
Blouse,Spring,Female,866,482,384
Blouse,Spring,Male,1905,706,1199
Blouse,Summer,Female,1231,393,838
Blouse,Summer,Male,1385,733,652
Blouse,Winter,Female,802,357,445
Blouse,Winter,Male,1531,732,799
Boots,Fall,Female,542,229,313
Boots,Fall,Male,1617,670,947
Boots,Spring,Female,1091,405,686
Boots,Spring,Male,1337,574,763
Boots,Summer,Female,919,400,519
Boots,Summer,Male,1456,621,835
Boots,Winter,Female,674,353,321
Boots,Winter,Male,1382,544,838
Coat,Fall,Female,604,252,352
Coat,Fall,Male,1549,707,842
Coat,Spring,Female,770,318,452
Coat,Spring,Male,1666,899,767
Coat,Summer,Female,910,311,599
Coat,Summer,Male,1611,821,790
Coat,Winter,Female,563,197,366
Coat,Winter,Male,1602,812,790
Dress,Fall,Female,925,310,615
Dress,Fall,Male,1521,569,952
Dress,Spring,Female,632,293,339
Dress,Spring,Male,1962,1000,962
Dress,Summer,Female,1116,313,803
Dress,Summer,Male,1629,817,812
Dress,Winter,Female,819,293,526
Dress,Winter,Male,1716,812,904
Gloves,Fall,Female,648,282,366
Gloves,Fall,Male,1618,678,940
Gloves,Spring,Female,448,219,229
Gloves,Spring,Male,2025,852,1173
Gloves,Summer,Female,655,228,427
Gloves,Summer,Male,1078,637,441
Gloves,Winter,Female,665,275,390
Gloves,Winter,Male,1340,531,809
Handbag,Fall,Female,1013,452,561
Handbag,Fall,Male,1769,658,1111
Handbag,Spring,Female,917,414,503
Handbag,Spring,Male,1091,466,625
Handbag,Summer,Female,875,378,497
Handbag,Summer,Male,1115,456,659
Handbag,Winter,Female,537,133,404
Handbag,Winter,Male,1540,824,716
Hat,Fall,Female,1358,464,894
Hat,Fall,Male,1866,680,1186
Hat,Spring,Female,434,213,221
Hat,Spring,Male,1191,636,555
Hat,Summer,Female,394,207,187
Hat,Summer,Male,1839,774,1065
Hat,Winter,Female,932,378,554
Hat,Winter,Male,1361,549,812
Hoodie,Fall,Female,770,228,542
Hoodie,Fall,Male,1315,578,737
Hoodie,Spring,Female,931,331,600
Hoodie,Spring,Male,1248,584,664
Hoodie,Summer,Female,482,232,250
Hoodie,Summer,Male,1171,482,689
Hoodie,Winter,Female,824,431,393
Hoodie,Winter,Male,2026,807,1219
Jacket,Fall,Female,947,196,751
Jacket,Fall,Male,2159,991,1168
Jacket,Spring,Female,814,305,509
Jacket,Spring,Male,1175,580,595
Jacket,Summer,Female,575,233,342
Jacket,Summer,Male,1182,459,723
Jacket,Winter,Female,718,355,363
Jacket,Winter,Male,1679,650,1029
Jeans,Fall,Female,541,186,355
Jeans,Fall,Male,1451,450,1001
Jeans,Spring,Female,517,139,378
Jeans,Spring,Male,1364,538,826
Jeans,Summer,Female,514,157,357
Jeans,Summer,Male,1328,630,698
Jeans,Winter,Female,362,138,224
Jeans,Winter,Male,1471,425,1046
Jewelry,Fall,Female,518,213,305
Jewelry,Fall,Male,1562,750,812
Jewelry,Spring,Female,909,359,550
Jewelry,Spring,Male,1307,890,417
Jewelry,Summer,Female,850,309,541
Jewelry,Summer,Male,2156,1116,1040
Jewelry,Winter,Female,1094,515,579
Jewelry,Winter,Male,1614,791,823
Pants,Fall,Female,725,393,332
Pants,Fall,Male,1451,533,918
Pants,Spring,Female,554,210,344
Pants,Spring,Male,1475,555,920
Pants,Summer,Female,899,369,530
Pants,Summer,Male,1987,964,1023
Pants,Winter,Female,758,381,377
Pants,Winter,Male,2241,897,1344
Sandals,Fall,Female,928,367,561
Sandals,Fall,Male,1813,571,1242
Sandals,Spring,Female,1164,534,630
Sandals,Spring,Male,1220,509,711
Sandals,Summer,Female,481,233,248
Sandals,Summer,Male,1642,798,844
Sandals,Winter,Female,569,193,376
Sandals,Winter,Male,1383,664,719
Scarf,Fall,Female,791,291,500
Scarf,Fall,Male,1804,731,1073
Scarf,Spring,Female,437,186,251
Scarf,Spring,Male,1780,814,966
Scarf,Summer,Female,1007,399,608
Scarf,Summer,Male,1752,816,936
Scarf,Winter,Female,467,261,206
Scarf,Winter,Male,1523,707,816
Shirt,Fall,Female,1031,457,574
Shirt,Fall,Male,1565,774,791
Shirt,Spring,Female,700,296,404
Shirt,Spring,Male,1969,709,1260
Shirt,Summer,Female,649,209,440
Shirt,Summer,Male,1316,582,734
Shirt,Winter,Female,1172,616,556
Shirt,Winter,Male,1930,695,1235
Shoes,Fall,Female,382,217,165
Shoes,Fall,Male,1276,443,833
Shoes,Spring,Female,844,449,395
Shoes,Spring,Male,1705,623,1082
Shoes,Summer,Female,607,261,346
Shoes,Summer,Male,2174,788,1386
Shoes,Winter,Female,1055,373,682
Shoes,Winter,Male,1197,636,561
Shorts,Fall,Female,798,345,453
Shorts,Fall,Male,1580,654,926
Shorts,Spring,Female,817,261,556
Shorts,Spring,Male,1887,826,1061
Shorts,Summer,Female,500,254,246
Shorts,Summer,Male,1721,820,901
Shorts,Winter,Female,682,180,502
Shorts,Winter,Male,1448,748,700
Skirt,Fall,Female,795,401,394
Skirt,Fall,Male,1778,646,1132
Skirt,Spring,Female,1118,445,673
Skirt,Spring,Male,1676,683,993
Skirt,Summer,Female,475,187,288
Skirt,Summer,Male,1114,525,589
Skirt,Winter,Female,663,302,361
Skirt,Winter,Male,1783,736,1047
Sneakers,Fall,Female,655,229,426
Sneakers,Fall,Male,1452,618,834
Sneakers,Spring,Female,744,247,497
Sneakers,Spring,Male,1450,598,852
Sneakers,Summer,Female,753,348,405
Sneakers,Summer,Male,1361,649,712
Sneakers,Winter,Female,427,162,265
Sneakers,Winter,Male,1793,808,985
Socks,Fall,Female,1207,530,677
Socks,Fall,Male,1052,552,500
Socks,Spring,Female,537,190,347
Socks,Spring,Male,1883,774,1109
Socks,Summer,Female,863,428,435
Socks,Summer,Male,1540,582,958
Socks,Winter,Female,604,268,336
Socks,Winter,Male,1566,641,925
Sunglasses,Fall,Female,921,449,472
Sunglasses,Fall,Male,1445,596,849
Sunglasses,Spring,Female,493,236,257
Sunglasses,Spring,Male,1411,528,883
Sunglasses,Summer,Female,745,348,397
Sunglasses,Summer,Male,1549,757,792
Sunglasses,Winter,Female,1089,492,597
Sunglasses,Winter,Male,1996,715,1281
Sweater,Fall,Female,676,252,424
Sweater,Fall,Male,1758,898,860
Sweater,Spring,Female,1105,368,737
Sweater,Spring,Male,2040,834,1206
Sweater,Summer,Female,413,233,180
Sweater,Summer,Male,1105,461,644
Sweater,Winter,Female,729,358,371
Sweater,Winter,Male,1636,795,841
T-shirt,Fall,Female,820,304,516
T-shirt,Fall,Male,1771,649,1122
T-shirt,Spring,Female,589,225,364
T-shirt,Spring,Male,1917,792,1125
T-shirt,Summer,Female,416,157,259
T-shirt,Summer,Male,1224,452,772
T-shirt,Winter,Female,892,345,547
T-shirt,Winter,Male,1619,724,895
