Date,Offline_Cost,Online_Cost,Shipping_Fee,GST
2019-01-01,4500,2424.5,6.5,0.1
2019-01-01,4500,2424.5,6.5,0.1
2019-01-01,4500,2424.5,6.5,0.1
2019-01-01,4500,2424.5,6.5,0.18
2019-01-01,4500,2424.5,6.5,0.18
2019-01-01,4500,2424.5,6.5,0.18
2019-01-01,4500,2424.5,6.5,0.18
2019-01-01,4500,2424.5,6.5,0.18
2019-01-01,4500,2424.5,6.5,0.18
2019-01-01,4500,2424.5,6.5,0.1
2019-01-01,4500,2424.5,6.5,0.1
2019-01-01,4500,2424.5,6.5,0.1
2019-01-01,4500,2424.5,6.5,0.18
2019-01-01,4500,2424.5,6.5,0.1
2019-01-01,4500,2424.5,6.5,0.1
2019-01-01,4500,2424.5,6.5,0.18
2019-01-01,4500,2424.5,6.5,0.18
2019-01-01,4500,2424.5,6.5,0.18
2019-01-01,4500,2424.5,6.5,0.18
2019-01-01,4500,2424.5,6.5,0.1
2019-01-01,4500,2424.5,6.5,0.1
2019-01-01,4500,2424.5,6.5,0.1
2019-01-01,4500,2424.5,6.5,0.1
2019-01-01,4500,2424.5,6.5,0.1
2019-01-01,4500,2424.5,6.5,0.1
2019-01-01,4500,2424.5,6.5,0.1
2019-01-01,4500,2424.5,102.79,0.1
2019-01-01,4500,2424.5,102.79,0.18
2019-01-01,4500,2424.5,102.79,0.1
2019-01-01,4500,2424.5,102.79,0.1
2019-01-01,4500,2424.5,102.79,0.05
2019-01-01,4500,2424.5,6.5,0.18
2019-01-01,4500,2424.5,6.5,0.18
2019-01-01,4500,2424.5,6.5,0.1
2019-01-01,4500,2424.5,6.5,0.18
2019-01-01,4500,2424.5,6.5,0.18
2019-01-01,4500,2424.5,6.5,0.18
2019-01-01,4500,2424.5,6.5,0.18
2019-01-01,4500,2424.5,6.5,0.18
2019-01-01,4500,2424.5,6.5,0.18
2019-01-01,4500,2424.5,6.5,0.18
2019-01-01,4500,2424.5,6.5,0.18
2019-01-01,4500,2424.5,6.5,0.18
2019-01-01,4500,2424.5,6.5,0.18
2019-01-01,4500,2424.5,6.5,0.05
2019-01-01,4500,2424.5,6.5,0.1
2019-01-01,4500,2424.5,6.5,0.18
2019-01-01,4500,2424.5,6.5,0.18
2019-01-01,4500,2424.5,6.5,0.1
2019-01-01,4500,2424.5,6.5,0.18
2019-01-01,4500,2424.5,6.5,0.18
2019-01-01,4500,2424.5,6.5,0.1
2019-01-01,4500,2424.5,6.5,0.1
2019-01-01,4500,2424.5,6.5,0.1
2019-01-01,4500,2424.5,6.5,0.1
2019-01-01,4500,2424.5,6.5,0.1
2019-01-01,4500,2424.5,6.5,0.18
2019-01-01,4500,2424.5,6.5,0.18
2019-01-01,4500,2424.5,6.5,0.18
2019-01-01,4500,2424.5,6.5,0.18
2019-01-01,4500,2424.5,6.5,0.05
2019-01-01,4500,2424.5,6.5,0.1
2019-01-01,4500,2424.5,6.5,0.18
2019-01-01,4500,2424.5,6.5,0.18
2019-01-01,4500,2424.5,28.78,0.1
2019-01-01,4500,2424.5,6.5,0.1
2019-01-01,4500,2424.5,6.5,0.1
2019-01-01,4500,2424.5,6.5,0.18
2019-01-01,4500,2424.5,6.5,0.18
2019-01-01,4500,2424.5,6.5,0.1
2019-01-01,4500,2424.5,6.5,0.18
2019-01-01,4500,2424.5,6.5,0.18
2019-01-01,4500,2424.5,6.5,0.1
2019-01-01,4500,2424.5,6.5,0.1
2019-01-01,4500,2424.5,6.5,0.1
2019-01-01,4500,2424.5,6.5,0.1
2019-01-01,4500,2424.5,6.5,0.1
2019-01-01,4500,2424.5,6.5,0.1
2019-01-01,4500,2424.5,6.5,0.1
2019-01-01,4500,2424.5,6.5,0.1
2019-01-01,4500,2424.5,6.5,0.1
2019-01-01,4500,2424.5,6.5,0.1
2019-01-01,4500,2424.5,6.5,0.18
2019-01-01,4500,2424.5,6.5,0.18
2019-01-01,4500,2424.5,6.5,0.1
2019-01-01,4500,2424.5,6.5,0.1
2019-01-01,4500,2424.5,6.5,0.1
2019-01-01,4500,2424.5,6.5,0.1
2019-01-01,4500,2424.5,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.05
2019-01-02,4500,3480.36,6.5,0.18
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,8.7,0.1
2019-01-02,4500,3480.36,8.7,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.18
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.05
2019-01-02,4500,3480.36,6.5,0.05
2019-01-02,4500,3480.36,8.7,0.1
2019-01-02,4500,3480.36,8.7,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.18
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.18
2019-01-02,4500,3480.36,8.7,0.1
2019-01-02,4500,3480.36,8.7,0.1
2019-01-02,4500,3480.36,6.5,0.18
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.18
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,20,0.18
2019-01-02,4500,3480.36,20,0.1
2019-01-02,4500,3480.36,20,0.1
2019-01-02,4500,3480.36,20,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.18
2019-01-02,4500,3480.36,6.5,0.18
2019-01-02,4500,3480.36,6.5,0.18
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.18
2019-01-02,4500,3480.36,6.5,0.18
2019-01-02,4500,3480.36,6.5,0.18
2019-01-02,4500,3480.36,6.5,0.18
2019-01-02,4500,3480.36,6.5,0.18
2019-01-02,4500,3480.36,6.5,0.18
2019-01-02,4500,3480.36,6.5,0.18
2019-01-02,4500,3480.36,6.5,0.18
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.18
2019-01-02,4500,3480.36,6.5,0.18
2019-01-02,4500,3480.36,6.5,0.18
2019-01-02,4500,3480.36,6.5,0.18
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.18
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.18
2019-01-02,4500,3480.36,6.5,0.18
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.18
2019-01-02,4500,3480.36,6.5,0.18
2019-01-02,4500,3480.36,6.5,0.18
2019-01-02,4500,3480.36,6.5,0.18
2019-01-02,4500,3480.36,6.5,0.18
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.18
2019-01-02,4500,3480.36,6.5,0.18
2019-01-02,4500,3480.36,6.5,0.18
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.18
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,17.96,0.18
2019-01-02,4500,3480.36,17.96,0.1
2019-01-02,4500,3480.36,17.96,0.18
2019-01-02,4500,3480.36,17.96,0.18
2019-01-02,4500,3480.36,17.96,0.18
2019-01-02,4500,3480.36,6.5,0.18
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-02,4500,3480.36,6.5,0.1
2019-01-03,4500,1576.38,6.5,0.1
2019-01-03,4500,1576.38,6.5,0.1
2019-01-03,4500,1576.38,6.5,0.18
2019-01-03,4500,1576.38,6.5,0.18
2019-01-03,4500,1576.38,6.5,0.1
2019-01-03,4500,1576.38,6.5,0.1
2019-01-03,4500,1576.38,6.5,0.1
2019-01-03,4500,1576.38,6.5,0.1
2019-01-03,4500,1576.38,6.5,0.18
2019-01-03,4500,1576.38,6.5,0.18
2019-01-03,4500,1576.38,6.5,0.1
2019-01-03,4500,1576.38,6.5,0.18
2019-01-03,4500,1576.38,6.5,0.1
2019-01-03,4500,1576.38,6.5,0.1
2019-01-03,4500,1576.38,6.5,0.18
2019-01-03,4500,1576.38,6.5,0.18
2019-01-03,4500,1576.38,6.5,0.18
2019-01-03,4500,1576.38,6.5,0.1
2019-01-03,4500,1576.38,6.5,0.1
2019-01-03,4500,1576.38,6.5,0.1
2019-01-03,4500,1576.38,6.5,0.1
2019-01-03,4500,1576.38,6.5,0.1
2019-01-03,4500,1576.38,6.5,0.05
2019-01-03,4500,1576.38,24.47,0.18
2019-01-03,4500,1576.38,24.47,0.1
2019-01-03,4500,1576.38,24.47,0.18
2019-01-03,4500,1576.38,24.47,0.1
2019-01-03,4500,1576.38,6.5,0.1
2019-01-03,4500,1576.38,6.5,0.18
2019-01-03,4500,1576.38,6.5,0.18
2019-01-03,4500,1576.38,6.5,0.18
2019-01-03,4500,1576.38,6.5,0.1
2019-01-03,4500,1576.38,6.5,0.1
2019-01-03,4500,1576.38,6.5,0.18
2019-01-03,4500,1576.38,6.5,0.1
2019-01-03,4500,1576.38,6.5,0.1
2019-01-03,4500,1576.38,6.5,0.1
2019-01-03,4500,1576.38,6.5,0.1
2019-01-03,4500,1576.38,6.5,0.18
2019-01-03,4500,1576.38,6.5,0.1
2019-01-03,4500,1576.38,6.5,0.1
2019-01-03,4500,1576.38,6.5,0.1
2019-01-03,4500,1576.38,6.5,0.1
2019-01-03,4500,1576.38,6.5,0.18
2019-01-03,4500,1576.38,6.5,0.1
2019-01-03,4500,1576.38,6.5,0.1
2019-01-03,4500,1576.38,6.5,0.1
2019-01-03,4500,1576.38,6.5,0.1
2019-01-03,4500,1576.38,6.5,0.1
2019-01-03,4500,1576.38,6.5,0.18
2019-01-03,4500,1576.38,6.5,0.18
2019-01-03,4500,1576.38,6.5,0.1
2019-01-03,4500,1576.38,8.7,0.1
2019-01-03,4500,1576.38,6.5,0.1
2019-01-03,4500,1576.38,6.5,0.1
2019-01-03,4500,1576.38,35.96,0.18
2019-01-03,4500,1576.38,35.96,0.18
2019-01-03,4500,1576.38,35.96,0.1
2019-01-03,4500,1576.38,6.5,0.18
2019-01-03,4500,1576.38,18.47,0.05
2019-01-03,4500,1576.38,6.5,0.18
2019-01-03,4500,1576.38,6.5,0.18
2019-01-03,4500,1576.38,6.5,0.1
