"대여소 그룹","대여소 명","일자 / 월","대여 건수","반납 건수"
"강남구","2301. 현대고등학교 건너편","201912","501","662"
"강남구","2302. 교보타워 버스정류장(신논현역 3번출구 후면)","201912","737","736"
"강남구","2303. 논현역 7번출구","201912","460","438"
"강남구","2304. 신영 ROYAL PALACE 앞","201912","150","62"
"강남구","2305. MCM 본사 직영점 앞","201912","257","342"
"강남구","2306. 압구정역 2번 출구 옆","201912","779","595"
"강남구","2307. 압구정 한양 3차 아파트","201912","503","556"
"강남구","2308. 압구정파출소 앞","201912","341","396"
"강남구","2309. 청담역(우리들병원 앞)","201912","128","109"
"강남구","2310. 청담동 맥도날드 옆(위치)","201912","358","359"
"강남구","2311. 학동로 래미안 아파트 앞","201912","83","43"
"강남구","2312. 청담역 13번 출구 앞","201912","161","152"
"강남구","2313. 금원빌딩 앞","201912","541","568"
"강남구","2314. 청담나들목입구","201912","204","207"
"강남구","2315. 봉은사역 5번출구 옆","201912","725","685"
"강남구","2316. 삼성역 8번출구","201912","592","593"
"강남구","2317. 삼성도로공원","201912","293","296"
"강남구","2318. 삼성중앙역4번출구(문화센터더 리빌)","201912","265","239"
"강남구","2319. 포스코4거리 서측(수협 삼성동 지점)","201912","295","314"
"강남구","2320. 도곡역 대치지구대 방향","201912","426","508"
"강남구","2321. 학여울역 사거리","201912","460","410"
"강남구","2322. 삼성역 3번 출구","201912","387","384"
"강남구","2323. 주식회사 오뚜기 정문 앞","201912","141","131"
"강남구","2324. 천주교 대치 2동 교회 옆","201912","501","532"
"강남구","2325. 대치동 버거킹대치점","201912","541","567"
"강남구","2326. 대치동 삼성로","201912","252","214"
"강남구","2327. 뱅뱅사거리 랜드마크타워 앞","201912","628","637"
"강남구","2328. 르네상스 호텔 사거리 역삼지하보도 7번출구 앞","201912","322","233"
"강남구","2329. 르네상스호텔사거리 역삼지하보도 2번출구","201912","165","133"
"강남구","2330. 스타벅스 앞","201912","350","327"
"강남구","2331. 동영문화센터앞","201912","317","246"
"강남구","2332. 선릉역3번출구","201912","717","728"
"강남구","2333. 양재역 3번출구 주변","201912","578","339"
"강남구","2334. 삼호아파트 2동 ( 간선도로)","201912","130","91"
"강남구","2335. 3호선 매봉역 3번출구앞","201912","640","666"
"강남구","2336. 강남세브란스교차로 래미안그레이튼 104동 앞","201912","165","98"
"강남구","2337. 대모산입구역 2번출구 앞","201912","236","157"
"강남구","2339. 현대아파트 정문 앞","201912","267","256"
"강남구","2340. 삼호물산버스정류장(23370) 옆","201912","666","770"
"강남구","2341. 일원역 4~5번 출구 사이","201912","139","97"
"강남구","2342. 대청역 1번출구 뒤","201912","821","899"
"강남구","2343. 세곡사거리 대왕파출소 앞","201912","38","44"
"강남구","2344. 리엔파크 2단지 앞","201912","223","255"
"강남구","2347. 두산건설 본사","201912","229","100"
"강남구","2348. 포스코사거리(기업은행)","201912","759","976"
"강남구","2349. 역삼빌딩 앞(하나은행 옆)","201912","271","164"
"강남구","2350. 래미안그레이튼102동앞","201912","157","130"
"강남구","2351. 청소년수련관(수영장)앞","201912","70","53"
"강남구","2352. 서울본부세관(건설회관 앞)","201912","194","71"
"강남구","2353. 강남구청역 2번출구 뒤","201912","447","268"
"강남구","2354. 청담역 2번출구","201912","126","126"
"강남구","2355. 삼성역 5~6번 출구 사이","201912","777","780"
"강남구","2356. 강남구청","201912","253","177"
"강남구","2357. 르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번 빌딩 명동칼국수 앞)","201912","401","180"
"강남구","2358. 구룡초사거리 (현대아파트10동 앞 )","201912","151","128"
"강남구","2359. 국립국악중,고교 정문 맞은편","201912","279","418"
"강남구","2360. 도곡1동 주민센터 교차로","201912","460","395"
"강남구","2361. 압구정역 교차로","201912","266","257"
"강남구","2362. 신사동 가로수길 입구","201912","438","439"
"강남구","2363. 강남 을지병원 교차로","201912","207","196"
"강남구","2364. 도산대로 렉서스 앞","201912","259","300"
"강남구","2365. K+ 타워 앞","201912","448","528"
"강남구","2368. 도곡동 경남아파트 건너편","201912","138","140"
"강남구","2369. KT선릉타워","201912","457","434"
"강남구","2370. 한티역 3번출구","201912","390","375"
"강남구","2371. 한국우편사업진흥원","201912","232","102"
"강남구","2372. 대치역 사거리","201912","540","645"
"강남구","2373. 개포동역 사거리","201912","342","329"
"강남구","2375. 수서역 1번출구 앞","201912","268","272"
"강남구","2376. 수서역 6번출구 앞","201912","112","97"
"강남구","2377. 수서역 5번출구 뒤","201912","863","858"
"강남구","2380. 삼성동베이직하우스앞","201912","281","239"
"강남구","2381. 언주역 6번출구앞","201912","254","267"
"강남구","2382. 역삼동 sk뷰 501동앞","201912","142","141"
"강남구","2383. 보금자리정원","201912","89","108"
"강남구","2384. 자곡사거리","201912","624","599"
"강남구","2385. 학동역","201912","406","351"
"강남구","2387. 래미안강남힐즈 사거리","201912","409","380"
"강남구","2388. 강남구 도시관리공단","201912","147","104"
"강남구","2389. 경기여자고등학교 후문 (삼성로3길 입구)","201912","190","162"
"강남구","2390. 구룡마을 입구 (래미안블레스티지 아파트)","201912","156","148"
"강남구","2391. 구룡터널 입구(개포1단지아파트)","201912","15","12"
"강남구","2392. 구룡산 입구 (구룡산 서울둘레길 입구)","201912","55","31"
"강남구","2393. 구룡사 앞 교차로 (보도육교)","201912","48","40"
"강남구","2395. 개포1단지아파트 입구 (보도육교)","201912","17","10"
"강남구","2396. 영동3교 북단(우성캐릭터 앞 보도)","201912","253","250"
"강남구","2398. 더라움","201912","262","181"
"강남구","2401. 밀알학교 입구 (삼성서울병원 입구)","201912","132","105"
"강남구","2403. 공무원연금매점 교차로 (개포주공9단지 입구)","201912","53","57"
"강남구","2404. 대모산입구역 4번 출구 앞","201912","373","406"
"강남구","2405. 청담공원앞 교차로","201912","380","134"
"강남구","2406. 논현동 광명빌딩 앞","201912","120","105"
"강남구","2407. 역삼.서초.삼성 세무서 앞 (역삼빌딩 앞)","201912","742","765"
"강남구","2408. 강남한양수자인아파트","201912","317","312"
"강남구","2409. 역삼동 디오슈페리움 (우성아파트 사거리)","201912","458","448"
"강남구","2410. 포스코피앤에스타워 (역삼역 3번출구 부근)","201912","375","370"
"강남구","2411. 세곡동 성당","201912","316","328"
"강남구","2412. 일원1동 주민센터","201912","452","461"
"강동구","1001. 광진교 남단 사거리(디지털프라자앞)","201912","782","846"
"강동구","1002. 해공공원(천호동)","201912","631","620"
"강동구","1003. 해공도서관앞","201912","502","398"
"강동구","1004. 삼성광나루아파트 버스정류장","201912","440","573"
"강동구","1006. 롯데캐슬 115동앞","201912","408","295"
"강동구","1007.암사동 선사유적지","201912","59","49"
"강동구","1008. 암사역 3번출구(국민은행앞)","201912","1127","1294"
"강동구","1009. 천호역4번출구(현대백화점)","201912","1690","1729"
"강동구","1010. 강동세무서","201912","1233","1193"
"강동구","1011. LIGA 아파트 앞","201912","1333","1354"
"강동구","1012. 서울 상운차량","201912","535","464"
"강동구","1013. 강동구청역 1번 출입구","201912","832","760"
"강동구","1014. 강동구평생학습관앞","201912","437","422"
"강동구","1015. 샛마을 근린공원","201912","431","429"
"강동구","1016. 해뜨는 주유소옆 리엔파크 109동앞","201912","248","248"
"강동구","1017. 맥도날드(길동)","201912","706","707"
"강동구","1018. 둔촌 주공 GS 맞은편","201912","392","403"
"강동구","1019. 다성이즈빌아파트(호원대 대각선 맞은편)","201912","1678","1908"
"강동구","1020. 강동경찰서","201912","1386","1553"
"강동구","1021. 강일동 리슈빌 빌딩앞","201912","530","553"
"강동구","1022. 길동 사거리(초소앞)","201912","859","798"
"강동구","1023. 한국종합기술사옥 앞","201912","618","633"
"강동구","1024. 강동구청 앞","201912","922","1071"
"강동구","1025. 상일초등학교","201912","123","122"
"강동구","1026. 대명초교 입구 교차로","201912","208","196"
"강동구","1027. 프라자 아파트 앞","201912","474","457"
"강동구","1028. 포레스 주상복합 빌딩","201912","581","599"
"강동구","1029. 롯데 시네마","201912","1004","1065"
"강동구","1030. 미호 플랜트 앞","201912","551","560"
"강동구","1031. 올림픽로 836(아리수로)","201912","209","229"
"강동구","1032. 선사고등학교","201912","198","177"
"강동구","1033. 고덕동 아남아파트","201912","340","252"
"강동구","1034. 고덕동 래미안 힐스테이트","201912","196","162"
"강동구","1035. 고덕역 4번출구","201912","957","636"
"강동구","1036. 고덕동 주양쇼핑","201912","353","319"
"강동구","1037. 강일리버파크 6단지","201912","55","49"
"강동구","1038. 강일 다솜 어린이 공원","201912","65","51"
"강동구","1039. 고덕초등학교","201912","54","70"
"강동구","1041. 묘곡초등학교","201912","202","205"
"강동구","1042. 강일리버파크 2~5단지","201912","159","163"
"강동구","1044. 굽은다리역","201912","1418","1540"
"강동구","1047. 건강보험 강동지사kt","201912","672","767"
"강동구","1048. 동부기업(둔촌동)","201912","675","686"
"강동구","1049. 강일리버파크 10단지","201912","301","305"
"강동구","1050. 둔촌역 3번 출입구","201912","1731","1883"
"강동구","1051. 양지시장 (용성약국앞) 입구","201912","567","526"
"강동구","1052. 리싸이클시티","201912","140","121"
"강동구","1053. 동명근린공원 진입로 (아리수로)","201912","187","209"
"강동구","1054. 말우물 어린이 공원","201912","90","100"
"강동구","1056. 강일리버파크 7~11단지","201912","115","116"
"강동구","1057. 능골근린공원","201912","205","202"
"강동구","1058. 고덕숲 아이파크 1","201912","17","24"
"강동구","1059. 래미안 강동팰리스(102동)","201912","610","528"
"강동구","1060. 천일초교 사거리","201912","353","355"
"강동구","1061. 천호초교 입구 사거리(일주빌딩)","201912","432","429"
"강동구","1062. 고덕숲 아이파크 2","201912","165","162"
"강동구","3539. 서원마을","201912","76","64"
"강북구","1501. 미아역 3번,4번 출구 사이","201912","663","701"
"강북구","1503. 이디야 커피 수유역점 앞","201912","1356","1413"
"강북구","1504. 다이소 삼양시장점","201912","230","215"
"강북구","1506. 강북문화예술회관","201912","531","514"
"강북구","1509. 서울북부수도사업소","201912","443","458"
"강북구","1510. 번동주공5단지 관리사무소 앞","201912","168","196"
"강북구","1511. 번동 금호어울림아파트102동앞","201912","113","146"
"강북구","1512. 강북중학교 앞","201912","362","306"
"강북구","1513. 강북구청 뒷편","201912","189","187"
"강북구","1514. 강북구청 사거리 버스정류소 앞","201912","851","852"
"강북구","1515. 송천동 주민센터","201912","334","329"
"강북구","1516. 우이초등학교 후문 옆","201912","275","240"
"강북구","1518. SK telecom(수유직영점) 앞","201912","324","326"
"강북구","1519. 세븐일레븐 수유장미원점 앞","201912","363","388"
"강북구","1520. 성실교회","201912","392","408"
"강북구","1522. 월드전기조명인테리어(우이동)","201912","182","143"
"강북구","1525. 미아동 복합청사","201912","218","172"
"강북구","1526. 수유동 채선당앞","201912","350","346"
"강북구","1527. 미아역 1번 출구 뒤","201912","414","408"
"강북구","1528. 삼각산동 주민센터","201912","344","132"
"강북구","1529. 미아동 한국전력공사","201912","725","767"
"강북구","1530. 광산사거리","201912","564","556"
"강북구","1531. 미아사거리 1번 출구","201912","923","1041"
"강북구","1532. 번3동 주민센터 교차로","201912","345","398"
"강북구","1533. 번동 주공3, 4단지 교차로","201912","603","764"
"강북구","1534. 북서울 꿈의 숲 동문","201912","168","206"
"강북구","1535. 효성인텔리안 앞","201912","1077","1273"
"강북구","1536. 번동 두산위브 101동 옆","201912","510","477"
"강북구","1537. 북한산 우이역","201912","254","213"
"강북구","1538. 솔밭공원역","201912","253","211"
"강북구","1539. 4.19민주묘지역","201912","439","439"
"강북구","1540. 가오리역","201912","419","415"
"강북구","1541. 삼양역","201912","214","113"
"강북구","1542. 삼양사거리역","201912","196","171"
"강북구","1543. 수유1동 주민센터","201912","338","330"
"강북구","1545. 솔샘역 2번 출구","201912","201","63"
"강북구","1546. 송천동우체국","201912","303","400"
"강북구","1547. 꿈의숲 롯데캐슬","201912","212","137"
"강북구","1548. 북서울 꿈의숲 서문","201912","204","91"
"강서구","1101. 개화동상사마을종점 버스정류장","201912","88","108"
"강서구","1102. 방화사거리 마을버스 버스정류장","201912","521","495"
"강서구","1103. 방화역 4번출구앞","201912","542","498"
"강서구","1105. 방화근린공원","201912","65","54"
"강서구","1106. 신방화사거리","201912","594","648"
"강서구","1108. 공항시장역 2번출구 뒤","201912","323","337"
"강서구","1109. 공항시장역 4번출구","201912","189","202"
"강서구","1110. 공항중학교앞","201912","331","313"
"강서구","1111. 마곡엠밸리6_7단지 마곡중학교","201912","501","520"
"강서구","1112. 마곡엠밸리4단지 정문","201912","1854","1816"
"강서구","1113. 서남환경공원 버스정류장","201912","703","690"
"강서구","1114. 서남물재생센터 버스정류장","201912","79","67"
"강서구","1115. 등촌역 1번출구옆","201912","385","385"
"강서구","1117. 스타벅스앞","201912","1204","1237"
"강서구","1118. 증미역 3번출구뒤(등촌두산위브센티움오피스텔)","201912","1269","1372"
"강서구","1119. 염창동 한마음아파트앞(염창동 빛나는 음악학원앞)","201912","705","775"
"강서구","1120. 대림경동아파트앞","201912","666","652"
"강서구","1121. 가양레포츠센터앞","201912","581","624"
"강서구","1122. 황금내근린공원","201912","162","180"
"강서구","1124. 발산역 6번출구옆(다이소앞)","201912","1426","1449"
"강서구","1125. 명덕고교입구(영종빌딩)","201912","968","960"
"강서구","1126. 우장산역 1번출구옆(우장산아이파크105동앞)","201912","687","419"
"강서구","1127. 화곡역(에이스정형외과앞) 버스정류장","201912","595","553"
"강서구","1128. 화곡역 6번출구","201912","407","407"
"강서구","1129. 화곡역 1번 출구 앞","201912","544","551"
"강서구","1130. 화곡본동시장 버스정류장","201912","172","157"
"강서구","1131. 꿈돌이공원 앞","201912","755","759"
"강서구","1132. 등촌역 7번출구","201912","615","595"
"강서구","1135. 강서구의회","201912","580","552"
"강서구","1136. 등촌2파출소","201912","384","238"
"강서구","1137. 등촌2동주민센터","201912","188","96"
"강서구","1139. 용문사 버스정류장","201912","514","538"
"강서구","1140. 목동사거리 버스정류장","201912","600","631"
"강서구","1141. 곰달래 문화복지센터 1-1","201912","510","743"
"강서구","1145. 곰달래 문화복지센터 1-2","201912","423","545"
"강서구","1146. 곰달래사거리","201912","570","785"
"강서구","1148. 볏골공원","201912","332","337"
"강서구","1149. 신방화역환승주차장","201912","1462","1465"
"강서구","1150. 송정역 1번출구","201912","971","1016"
"강서구","1151. 마곡역1번출구","201912","849","570"
"강서구","1152. 마곡역교차로","201912","724","756"
"강서구","1153. 발산역 1번, 9번 인근 대여소","201912","2319","2466"
"강서구","1155. 기쁜우리복지관","201912","678","702"
"강서구","1157. 강서구청","201912","781","967"
"강서구","1158. 가양역 8번출구","201912","1791","1833"
"강서구","1159. 서서울모터리움앞","201912","601","649"
"강서구","1160. 양천향교역 7번출구앞","201912","1853","1760"
"강서구","1161. 강서면허시험장앞","201912","223","201"
"강서구","1162. 공항초등학교건너편","201912","785","774"
"강서구","1163. 방화동강서기동대앞","201912","611","664"
"강서구","1165. 마곡중학교 후문","201912","453","274"
"강서구","1166. 강서구립등빛도서관","201912","1348","1375"
"강서구","1167. 마곡수명산파크3단지 교차로","201912","1423","1324"
"강서구","1168. 마곡엠밸리10단지 앞","201912","767","774"
"강서구","1169. 염창역 1번 출구","201912","566","565"
"강서구","1170. 강서구보건소 (삼성디지털 프라자)","201912","467","341"
"강서구","1171. 염창동 새마을금고 건너편 (모닝글로리)","201912","626","638"
"강서구","1172. 가양3동 주민센터","201912","610","721"
"강서구","1173. 강서구청사거리(SH타워)","201912","1180","1202"
"강서구","1174. 강서구청사거리(부민병원)","201912","486","480"
"강서구","1175. 대한항공 인력개발센터","201912","394","326"
"강서구","1177. 수명중?고교","201912","585","646"
"강서구","1178. 개화산역 2번 출구","201912","275","249"
"강서구","1180. 마곡엠밸리 15단지(1502동) 건너편","201912","646","631"
"강서구","1181. 농수산식품공사 (강서지사)","201912","212","241"
"강서구","1182. KBS 스포츠월드","201912","1016","1007"
"강서구","1183. KC 대학교","201912","94","88"
"강서구","1184. 마곡13단지","201912","916","1003"
"강서구","1185. 등촌9단지","201912","553","544"
"강서구","1186. 송정중학교","201912","517","581"
"강서구","1187. 강서수산물도매시장","201912","313","353"
"강서구","1188. 롯데중앙연구소","201912","228","248"
"강서구","1190. 마곡역 교차로(2번출구)","201912","536","430"
"강서구","1191. 마곡역 교차로(NH농협)","201912","1343","1195"
"강서구","1192. 마곡수명산파크 209동 건너편","201912","730","716"
"강서구","1193. 마곡센트럴타워 1차","201912","945","1135"
"강서구","1194. 센서텍㈜","201912","527","670"
"강서구","1195. 코오롱One&Only타워","201912","949","1112"
"강서구","1196. 서울식물원(문화센터) 건너편","201912","363","291"
"강서구","1197. 엘펠리체 호텔 건너편","201912","1417","1489"
"강서구","1198. LG 사이언스파크","201912","603","492"
"강서구","1199. 우장산역 3번출구","201912","557","443"
"강서구","1200. 개화광역환승센터","201912","139","121"
"강서구","2701. 마곡나루역 5번출구 뒤편","201912","3628","3653"
"강서구","2702. 마곡 엠밸리2단지","201912","523","409"
"관악구","2102. 봉림교 교통섬","201912","2340","2392"
"관악구","2103. 신림동 우방아파트","201912","754","759"
"관악구","2104. 사당역 5번출구","201912","553","624"
"관악구","2105. 미성동 신림체육센터","201912","568","567"
"관악구","2106. 난곡 새마을금고","201912","944","1010"
"관악구","2107. 도림천 신화교","201912","1069","1048"
"관악구","2108. 은천치안센터","201912","540","535"
"관악구","2109. 은천로입구 가로공원","201912","881","861"
"관악구","2110. 조원동 미성아파트","201912","488","469"
"관악구","2111. 서울대입구역 1번출구","201912","453","433"
"관악구","2112. 서울대입구역 마에스트로","201912","401","391"
"관악구","2113. 관악동작견인차량보관소","201912","528","517"
"관악구","2115. 관악농협농산물백화점","201912","529","481"
"관악구","2116. 에이스에이존빌딩","201912","274","265"
"관악구","2119. 중앙동 동진빌딩","201912","480","456"
"관악구","2122. 낙성대로 입구","201912","458","384"
"관악구","2127. 보성운수차고지 맞은편","201912","160","140"
"관악구","2128. 관악구청교차로","201912","213","209"
"관악구","2129. 낙성대 과학전시관","201912","244","246"
"관악구","2130. 영어마을 관악캠프","201912","80","55"
"관악구","2135. 신림역 5번출구","201912","911","914"
"관악구","2136. 신림역 8번출구","201912","1013","1032"
"관악구","2137. KT&G 관악지점","201912","313","314"
"관악구","2139. 서울신성초등학교","201912","648","656"
"관악구","2140. 신림1교 교차로","201912","970","953"
"관악구","2141. 미림여고입구 교차로","201912","93","94"
"관악구","2143. 서울산업정보학교","201912","188","184"
"관악구","2144. 난우길입구","201912","252","243"
"관악구","2145. 은천초등학교 육교","201912","419","412"
"관악구","2148. 낙성대역 3번출구 뒤","201912","348","327"
"관악구","2156. 농협 관악문성지점","201912","468","468"
"관악구","2159. 인헌초교","201912","130","132"
"관악구","2160. 관악구 보건소","201912","195","181"
"관악구","2164. 관악우체국","201912","492","488"
"관악구","2165. JK장평타워","201912","174","132"
"관악구","2167. 낙성대역 1번출구","201912","229","208"
"관악구","2169. 봉천역 2번출구","201912","691","704"
"관악구","2170. 조원동서울본병원","201912","435","422"
"관악구","2171. 서울대입구역 5번출구","201912","613","489"
"관악구","2172. 나들목공원","201912","375","232"
"관악구","2173. 당곡사거리","201912","1671","1685"
"관악구","2174. 삼성디지털프라자관악점","201912","354","341"
"관악구","2175. 신림동걷고싶은문화의거리입구","201912","151","153"
"관악구","2176. 보라매공원 보도육교","201912","526","503"
"관악구","2177. 신대방역 2번 출구","201912","2082","2086"
"관악구","2178. 서울대학교 정문","201912","294","289"
"관악구","2179. 양녕로 입구","201912","399","391"
"관악구","2180. 신림동주민센터","201912","390","381"
"관악구","2183. 동방1교","201912","2060","1993"
