"대여소 그룹","대여소 명","일자 / 월","대여 건수","반납 건수"
"강남구","2301. 현대고등학교 건너편","202006","4512","4714"
"강남구","2302. 교보타워 버스정류장(신논현역 3번출구 후면)","202006","1650","1628"
"강남구","2303. 논현역 7번출구","202006","1134","1072"
"강남구","2304. 신영 ROYAL PALACE 앞","202006","399","130"
"강남구","2305. MCM 본사 직영점 앞","202006","490","475"
"강남구","2306. 압구정역 2번 출구 옆","202006","1310","1305"
"강남구","2307. 압구정 한양 3차 아파트","202006","1935","1920"
"강남구","2308. 압구정파출소 앞","202006","1054","1044"
"강남구","2309. 청담역(우리들병원 앞)","202006","663","329"
"강남구","2310. 청담동 맥도날드 옆(위치)","202006","728","700"
"강남구","2311. 학동로 래미안 아파트 앞","202006","522","152"
"강남구","2312. 청담역 13번 출구 앞","202006","673","588"
"강남구","2313. 금원빌딩 앞","202006","1542","1565"
"강남구","2314. 청담나들목입구","202006","1153","1151"
"강남구","2315. 봉은사역 5번출구 옆","202006","1427","1391"
"강남구","2316. 삼성역 8번출구","202006","1769","1766"
"강남구","2317. 삼성도로공원","202006","1329","1364"
"강남구","2318. 삼성중앙역4번출구(문화센터더 리빌)","202006","654","567"
"강남구","2319. 포스코4거리 서측(수협 삼성동 지점)","202006","649","651"
"강남구","2320. 도곡역 대치지구대 방향","202006","941","924"
"강남구","2321. 학여울역 사거리","202006","1112","1026"
"강남구","2322. 삼성역 3번 출구","202006","1083","1060"
"강남구","2323. 주식회사 오뚜기 정문 앞","202006","574","570"
"강남구","2324. 천주교 대치 2동 교회 옆","202006","1492","1493"
"강남구","2325. 대치동 버거킹대치점","202006","1246","1225"
"강남구","2326. 대치동 삼성로","202006","372","338"
"강남구","2327. 뱅뱅사거리 랜드마크타워 앞","202006","1137","1200"
"강남구","2328. 르네상스 호텔 사거리 역삼지하보도 7번출구 앞","202006","581","562"
"강남구","2329. 르네상스호텔사거리 역삼지하보도 2번출구","202006","393","385"
"강남구","2330. 스타벅스 앞","202006","668","667"
"강남구","2331. 동영문화센터앞","202006","736","571"
"강남구","2332. 선릉역3번출구","202006","1346","1341"
"강남구","2333. 양재역 3번출구 주변","202006","1317","797"
"강남구","2334. 삼호아파트 2동 ( 간선도로)","202006","159","157"
"강남구","2335. 3호선 매봉역 3번출구앞","202006","1295","1285"
"강남구","2336. 강남세브란스교차로 래미안그레이튼 104동 앞","202006","292","279"
"강남구","2337. 대모산입구역 2번출구 앞","202006","533","452"
"강남구","2339. 현대아파트 정문 앞","202006","568","545"
"강남구","2340. 삼호물산버스정류장(23370) 옆","202006","1880","1884"
"강남구","2341. 일원역 4~5번 출구 사이","202006","461","350"
"강남구","2342. 대청역 1번출구 뒤","202006","2324","2361"
"강남구","2343. 세곡사거리 대왕파출소 앞","202006","179","178"
"강남구","2344. 리엔파크 2단지 앞","202006","867","862"
"강남구","2347. 두산건설 본사","202006","444","177"
"강남구","2348. 포스코사거리(기업은행)","202006","2040","2257"
"강남구","2349. 역삼빌딩 앞(하나은행 옆)","202006","349","340"
"강남구","2350. 래미안그레이튼102동앞","202006","359","351"
"강남구","2351. 청소년수련관(수영장)앞","202006","236","201"
"강남구","2352. 서울본부세관(건설회관 앞)","202006","312","142"
"강남구","2353. 강남구청역 2번출구 뒤","202006","824","499"
"강남구","2354. 청담역 2번출구","202006","364","352"
"강남구","2355. 삼성역 5~6번 출구 사이","202006","1694","1680"
