대여소 그룹,팀명,대여소 명,대여 건수
은평구,상암2팀,943. 은평구청 보건소,0
강남구,학여울1팀,2391. 구룡터널 입구(개포1단지아파트),9
성동구,테스트,9980. 에이텍,14
서초구,이수1팀,4314. 탑성마을 버스정거장 옆,32
성동구,중랑2팀,3527. 왕십리 자이아파트,39
마포구,상암1팀,4240. 아현문화건강센터,43
서초구,이수1팀,4322.서울추모공원 입구,47
구로구,천왕1팀,3922. 서울남부교정시설 앞,53
성동구,중랑2팀,3538. 서울숲 IT캐슬,53
서초구,이수1팀,2286. 탑성마을입구,56
서초구,이수1팀,2288. 안골마을입구,58
동작구,이수2팀,4178. 이수성결교회 옆,70
용산구,세종로3팀,865.하얏트호텔 앞,73
서초구,이수1팀,2536.서초종합체육관 입구,82
강남구,이수3팀,4903. 신사스퀘어,84
서초구,이수1팀,2275. 염곡치안센터 건너편,84
마포구,상암1팀,3003.래미안신공덕3차아파트,85
서초구,이수1팀,2287. 능안마을입구,86
강남구,이수1팀,2393. 구룡사 앞 교차로 (보도육교),93
동작구,이수2팀,4177. 롯데캐슬 101동 앞,97
용산구,세종로3팀,859.남산공원 야외식물원 앞,97
관악구,영남2팀,2113. 관악동작견인차량보관소,102
종로구,세종로1팀,4709. 천지인 오피스텔 앞,102
서초구,이수2팀,2506. LG유플러스 (방배사옥),106
구로구,천왕1팀,2813.항동지구 3단지 302동 앞,107
강남구,학여울2팀,2343. 세곡사거리 대왕파출소 앞,113
강남구,학여울1팀,2395. 개포1단지아파트 입구 (보도육교),119
서초구,이수1팀,2201. 본마을 정류소 앞,121
서초구,이수2팀,2289. 남태령역 2번출구,122
성북구,훈련원2팀,4417. 성북청소년문화의집,129
송파구,학여울2팀,2612. 문정·가락 대여소 앞,133
송파구,천호2팀,5751. 송파여성축구장,134
강남구,학여울2팀,3610. 윗반마을 입구,134
중구,세종로 4팀,484.도동삼거리,134
성북구,훈련원2팀,1352. e 편한세상 보문아파트 내,140
강동구,천호1팀,3677. 강동구음식물재활용센터,146
관악구,영남2팀,3306.서울신우초등학교,147
구로구,천왕1팀,2810.항동지구 3단지 311동 앞,150
은평구,상암3팀,991.흥국사 정류장,150
금천구,천왕3팀,3971. 순흥안씨묘 건너편,151
중구,세종로 4팀,4760. 서울역 7번출구,151
종로구,세종로1팀,462. 신영동삼거리(북악터널방향),152
강남구,학여울1팀,3648. 구룡역 4번 출구,152
금천구,천왕3팀,1842. 한울중학교,153
송파구,천호2팀,4861. 거여삼거리,158
광진구,중랑1팀,3878. 장로회신학대학교 주기철 기념관,161
노원구,도봉2팀,5305. 대륜E&S 서울지사 앞,162
강북구,도봉4팀,1550.삼각산아이원아파트(105동 옆),164
구로구,천왕1팀,2816.항동지구 8단지 803동옆(주차장입구),168
양천구,개화4팀,4538. 양천공영차고지,169
성동구,중랑2팀,564. 금호역 3번출구,169
종로구,세종로1팀,3429.HW컨벤션센터 앞,170
성동구,중랑2팀,3532. 왕십리KCC스위첸아파트,170
송파구,천호2팀,4853. 송파 안전체험교육관,171
성동구,중랑2팀,4363. 신금호역 2번출구 앞,174
서초구,이수3팀,4305. 서일스포츠센터,174
강동구,천호1팀,1052. 리싸이클시티,179
강남구,학여울1팀,2392. 구룡산 입구 (구룡산 서울둘레길 입구),179
종로구,훈련원1팀,3418.창신역2번 출구,180
동작구,영남2팀,2096.서울특별시 동작관악교육지원청,181
종로구,세종로1팀,4702. 평창동 주민센터,184
성북구,훈련원2팀,4415. 미아초교버스승강장,186
노원구,도봉2팀,1680. 삼육대 제3과학관,188
서초구,이수1팀,4310. 염곡동(염통골) 입구,188
종로구,세종로1팀,3430.구기치안센터 앞,191
성북구,훈련원2팀,1342. 성북쉼터 앞,192
은평구,상암3팀,937. 상림마을 롯데캐슬2단지 옆,192
동작구,이수2팀,2068. 총신대 앞(육교),193
중구,훈련원1팀,381. 장충체육관,195
종로구,세종로1팀,447. 신영동삼거리,195
영등포구,영남3팀,200. 국회의원회관,195
성동구,중랑2팀,523. 옥수동성당 옆,196
종로구,세종로1팀,3403.서울특별시 교육청,197
서초구,이수3팀,4324. 세화고등학교,199
중구,세종로 4팀,4782. 서소문역사공원,202
서초구,이수1팀,4323. 내곡도서관,204
서초구,이수2팀,2284. CJ오쇼핑앞,205
서초구,이수3팀,2282. 방배래미안아트힐 101동앞,209
구로구,천왕1팀,2805.구로자원순환센터,209
중랑구,중랑3팀,1467.sk신내 주유소앞(용마산로),210
관악구,이수2팀,2199.신봉천주유소 A,211
동작구,이수2팀,2061. 한강 현대아파트 건너편,212
동작구,이수2팀,2093.상도SH빌아파트 입구,212
은평구,상암3팀,968. 은평뉴타운 상림마을 13단지,214
강남구,학여울1팀,3622. 은마아파트입구 사거리(1),214
양천구,개화4팀,4523. 구립양천어르신요양센터,214
중구,훈련원1팀,429. 송도병원,216
중구,훈련원1팀,4777. 약수동 주민센터,218
은평구,상암3팀,924. 메뚜기다리,222
서초구,이수1팀,2541.옛골 입구,223
강서구,개화3팀,5078. 왈도강서캠퍼스 앞,223
서초구,이수1팀,2207. 내곡파출소 뒤 정자,224
종로구,훈련원1팀,3404.서울특별시 중부교육지원청,226
용산구,세종로3팀,803. 한남초교 앞 보도육교,226
서초구,이수1팀,4309. 서초케이타운앞,227
용산구,세종로3팀,4612. 한남 준 J.FSS 앞,228
서초구,이수2팀,2225.백석예술대학교 제3캠퍼스 앞,228
서초구,이수1팀,2248. 서초리슈빌S 글로벌 앞,229
강동구,천호1팀,1039. 고덕초등학교,229
용산구,세종로 4팀,4602. 숙명여대앞 버스정류소 주변,230
강북구,도봉4팀,1572. 우이동 먹거리마을,231
종로구,세종로2팀,465. 삼청공원 앞,232
강서구,개화1팀,3781. 강서아동복지센터,232
서대문구,상암2팀,4265. 안산초등학교 앞,234
송파구,학여울2팀,5753. 호반써밋,234
종로구,세종로1팀,486. 평창동주민센터 앞,237
중구,세종로 4팀,4801. 충정로역 2호선(엘리베이터 앞),243
서초구,이수3팀,4327. 몽마르뜨공원입구,244
송파구,학여울2팀,1242. 문정 법조단지6,245
중랑구,중랑3팀,4830. 신내 우디안 111동 앞,248
중랑구,중랑3팀,1424. 양원역 2번출구,249
용산구,세종로3팀,4611. 국제루터교회 앞,250
강남구,학여울2팀,2401. 밀알학교 입구 (삼성서울병원 입구),251
강남구,학여울1팀,2334. 삼호아파트 2동 ( 간선도로),251
성북구,훈련원2팀,1379.길음뉴타운푸르지오아파트 3단지,253
송파구,학여울2팀,2659.서울친환경유통센터,253
금천구,천왕3팀,1855. 성지아파트 옆 도로변,255
노원구,도봉2팀,4044. 공릉산 백세문 입구,256
동작구,이수2팀,2092.흑석한강푸르지오(110동),257
서초구,이수2팀,2226. 신동아럭스빌아파트 앞,258
강북구,상암1팀,4269. 연희IC 남측,259
금천구,천왕3팀,1864.산호시티빌 옆,261
강남구,학여울2팀,2425.세곡동 사거리(대왕초등학교 정류장),262
강동구,천호1팀,3652. 한영외국어고등학교,268
서초구,이수1팀,2257. 청계산 입구 삼거리,269
종로구,세종로1팀,3431.로제우스 레포츠센터,270
금천구,천왕3팀,3970. 시흥4동주민센터 앞,270
은평구,상암3팀,938. 금암 문화공원,271
강남구,학여울1팀,3615. 서울 논현동우체국 앞,272
중구,세종로 4팀,4772. 중앙일보,272
용산구,세종로 4팀,4617. 동원베네스트 건너편,273
동작구,이수2팀,2079.중앙대학교 중앙광장,275
강남구,학여울1팀,3647. 구룡역 1번 출구,276
용산구,세종로3팀,854.HID 유족동지회 앞,277
송파구,천호2팀,4479. 문정중학교,278
송파구,학여울2팀,1250.문정2동 주민센터,279
금천구,천왕3팀,1861.IBK기업은행 석수역 지점 앞,281
서초구,이수3팀,"4330. 반포한강공원입구,씨티21옆",283
구로구,천왕1팀,2806.항동지구 4단지 입구,284
서초구,이수1팀,4319. 삼성전자R&D어린이집 뒤,286
광진구,중랑1팀,3563.구의7단지현대아파트,286
성북구,훈련원2팀,1392.돈암삼성풍림아파트,287
송파구,천호2팀,4883. 위례포레샤인18단지 1812동,289
강동구,천호1팀,1007.암사동 선사유적지,289
마포구,상암1팀,4221. 솔리스타오피스텔(공덕동주민센터),290
성북구,훈련원2팀,1376. 한국과학기술연구원 중문,291
관악구,이수2팀,2130. 영어마을 관악캠프,293
송파구,천호2팀,4896. 위례포레샤인15단지,293
송파구,학여울2팀,4488. 문현중.고등학교 사이,293
영등포구,영남3팀,3219.영등포역 1번출구,295
서초구,이수3팀,2510. JW타워,297
광진구,중랑1팀,3524. 세종대학교,297
금천구,천왕3팀,1836. 금천구립 독산도서관,297
영등포구,영남3팀,4584. 국회2문,298
중구,세종로 4팀,443.호암아트홀,298
용산구,세종로3팀,4623. 라인프랜즈이태원점 앞,300
성동구,중랑2팀,3555.양지사거리(센트라스APT 115동앞),301
구로구,천왕1팀,2809.항동지구 11단지 1103동 앞,302
강남구,학여울1팀,2398. 더라움,302
강동구,천호1팀,1062. 고덕숲 아이파크 2,302
관악구,영남2팀,2141. 미림여고입구 교차로,303
중랑구,중랑3팀,1445. 용마지구대,303
용산구,세종로3팀,855.이촌역5번출구 앞,305
금천구,천왕3팀,1866.서울안천초등학교 옆,306
강남구,학여울1팀,3616. 역삼중학교 앞(체육관 방향),306
서초구,이수3팀,2519.서초2교(사임당로 방면),307
구로구,천왕1팀,3915. 동선아파트 앞,308
구로구,천왕1팀,3911. 항동하버리안2단지아파트 후문,308
은평구,상암3팀,969. 은평 지웰테라스,310
강동구,천호1팀,1066.생태공원앞 교차로(조명탑),314
송파구,천호2팀,1283. 오금공원 사거리,314
구로구,천왕1팀,2807.항동지구 1단지 105동 앞,315
종로구,세종로1팀,3428.서울미술관,316
강남구,학여울1팀,2371. 한국우편사업진흥원,316
서초구,이수3팀,2517.서초3교(효령로69길 방면),317
종로구,훈련원1팀,3401.창신두산아파트,317
송파구,천호1팀,5752. 풍납백제문화공원 옆 인근,320
은평구,상암3팀,4668. 기자촌사거리,321
영등포구,영남3팀,5852. 대림동현대2차 201동 앞,323
동작구,이수2팀,2040. 비계 버스정류소,325
강남구,학여울1팀,2352. 서울본부세관(건설회관 앞),325
중구,세종로2팀,467.한국은행,325
마포구,상암1팀,4239. 성산2동 주민센터,326
성북구,훈련원2팀,1377. 한국과학기술연구원 북문,326
서초구,이수3팀,2210. 반포1동 주민센터 앞,326
노원구,도봉2팀,4021. 중계본동 입구,327
동작구,이수2팀,2078.흑석 아크로리버하임(103동),327
강동구,천호1팀,1082.중앙보훈병원역3번출구,329
노원구,도봉2팀,1675. 월계문화체육센터,329
강남구,학여울1팀,2350. 래미안그레이튼102동앞,329
강남구,학여울2팀,3624. 대모산입구역 7번 출구 앞,331
중랑구,중랑3팀,1427. 용마산역 1번출구,333
서초구,이수1팀,2249. 우솔초등학교 맞은편,333
동작구,이수2팀,2064. 흑석한강푸르지오 106동앞,333
관악구,이수2팀,3802. 관악구민체육센터,334
성동구,중랑2팀,556. 달맞이공원,334
강남구,학여울1팀,3649. 구룡역 5번 출구,336
광진구,중랑1팀,3564.나루마당,336
서대문구,상암2팀,3111.무악재역 4번 출구,337
서초구,이수3팀,2532.국립국악원 앞,337
강남구,학여울2팀,2383. 보금자리정원,338
서초구,이수3팀,2269. 주홍교 하부,338
용산구,세종로 4팀,851.효창 푸르지오 앞,339
구로구,천왕1팀,3902. 항동지구5단지 501동 앞,339
은평구,상암3팀,4681.박석고개(은평소방서) 앞,340
서초구,이수3팀,2533.한가람미술관 앞,341
강남구,학여울1팀,2417.선정릉 디캠프(D.CAMP)앞,343
용산구,세종로3팀,4608. 국립중앙박물관 정문 앞,343
구로구,천왕1팀,3910. 목양전원교회 앞 로터리,345
중구,세종로 4팀,384. 종로학원본원,345
강서구,개화1팀,1101. 개화동상사마을종점 버스정류장,346
용산구,세종로3팀,4613. 서울갤러리아 앞,347
중랑구,중랑3팀,4834. 용마복지센터 앞,348
금천구,천왕3팀,1816. 금천폭포공원 앞,348
강남구,학여울1팀,2329. 르네상스호텔사거리 역삼지하보도 2번출구,351
서대문구,상암2팀,3126.남가좌동 제2공영주차장,351
동작구,영남2팀,4158. 노량진근린공원,352
마포구,상암1팀,3005.마포구청 청사내,354
중랑구,중랑3팀,1406. 망우청소년수련관,357
중랑구,중랑3팀,1453. 중랑캠핑숲,357
금천구,천왕3팀,3972. 산기슭공원 앞,357
금천구,천왕3팀,3973. 독산2동주민센터 앞,358
동작구,이수2팀,4153. 흑석동효사정앞,359
서대문구,상암1팀,4266.국민연금공단충정로사옥,359
금천구,천왕3팀,3968. 독산동 현대홈타운 금천과선교 앞,361
금천구,천왕3팀,1857. 주공14단지,363
은평구,상암3팀,992.북한산입구 정류장,365
강남구,학여울2팀,3602. 한국지역난방공사강남지사,366
관악구,이수2팀,3810. 신봉천주유소 B,366
도봉구,도봉3팀,1730. 도봉산역 교차로 앞,367
금천구,천왕3팀,1852. 혜명양로원 담장 옆,367
구로구,천왕1팀,3920. 개봉역2번출구 B,368
동작구,이수2팀,2038. 동작역 7번출구,370
용산구,세종로3팀,4632. 용산 푸르지오 파크타운 1단지 앞,372
은평구,상암3팀,4672. 준빌딩 앞,373
서초구,이수3팀,2545.국립중앙도서관(국제회의장옆),373
강남구,학여울2팀,2403. 공무원연금매점 교차로 (개포주공9단지 입구),373
서대문구,상암2팀,4262. 서대문자연사박물관 입구,375
은평구,상암3팀,974.연신초등학교옆 마을마당,377
구로구,천왕1팀,2808.항동지구 2단지 202동 앞,378
서초구,이수3팀,4315. 이투스교육 앞,379
종로구,세종로2팀,352. 중앙고입구 삼거리,379
성동구,중랑2팀,3556.신금호파크자이APT앞,379
성북구,훈련원2팀,1393.돈암육교 하단,380
용산구,세종로3팀,831. 이태원관광특구입구,381
관악구,영남2팀,2184. 구암초등학교 버스정류장,385
구로구,천왕1팀,1951. 천왕이펜하우스 4단지 후문,385
서초구,이수2팀,2283. 그룹한빌딩옆,385
동작구,이수2팀,2071. 대림아파트 후문 상가 옆,386
강동구,천호1팀,1006. 롯데캐슬 115동앞,386
강동구,천호1팀,3539. 서원마을,387
영등포구,영남3팀,4583. 의정관,388
성북구,훈련원2팀,1353. 금호어울림센터힐 내,388
송파구,천호2팀,4879. 마천청소년센터,389
용산구,세종로 4팀,823. 효창동주민센터 앞,391
관악구,이수2팀,3307.봉천고개 육교,391
영등포구,영남3팀,297.국회3문,391
강남구,학여울1팀,2347. 두산건설 본사,392
송파구,천호2팀,4881. 거여동사거리 송파둘레길 입구,395
종로구,세종로1팀,3427.인왕산 아이파크 정문,395
강남구,학여울1팀,2386. 크린랩 본사,395
강남구,학여울1팀,3621. 휘문고교 사거리,396
강남구,학여울1팀,3620. 청담역 11번 출구,397
중랑구,중랑3팀,1422. 신내우디안아파트 1단지,400
강동구,천호1팀,1089.고덕 래미안힐스테이트(201동),402
은평구,상암3팀,921. 신도고등학교,402
용산구,세종로3팀,812. 용산전쟁기념관,404
