"자치구","대여소명","기준년월","대여건수","반납건수"
"마포구","108. 서교동 사거리","202307","2019","2019"
"양천구","729. 서부식자재마트 건너편","202307","2105","2268"
"양천구","731. 서울시 도로환경관리센터","202307","3975","4042"
"양천구","732. 신월중학교","202307","1284","1260"
"양천구","733. 신정이펜하우스314동","202307","934","451"
"양천구","734. 신트리공원 입구","202307","3758","3784"
"양천구","735. 영도초등학교","202307","3406","3528"
"양천구","736. 오솔길공원","202307","1237","1514"
"양천구","737. 장수공원","202307","1096","1109"
"양천구","739. 신월사거리","202307","1756","1812"
"양천구","740. 으뜸공원","202307","1243","1415"
"양천구","741. 화곡로 입구 교차로","202307","455","424"
"양천구","742. 등촌역 5번 출구 뒤","202307","1220","1216"
"양천구","743. 현대6차아파트 101동 옆","202307","1251","1494"
"양천구","744. 신목동역 2번 출구","202307","3653","3626"
"양천구","745. 강서초등학교","202307","722","837"
"양천구","746. 목동2단지 상가","202307","4539","4575"
"양천구","747. 목동3단지 상가","202307","2361","2351"
"양천구","748. 목동운동장","202307","848","845"
"광진구","505. 자양사거리 광진아크로텔 앞","202307","2772","2735"
"은평구","934. 신사동 성당","202307","239","173"
"은평구","937. 상림마을 롯데캐슬2단지 옆","202307","118","164"
"은평구","938. 금암 문화공원","202307","239","253"
"은평구","939. 은평구청 교차로","202307","1305","1299"
"은평구","941. 은평뉴타운 도서관","202307","670","279"
"은평구","942. 상림마을 생태공원","202307","613","570"
"성동구","506. 금호 어울림 아파트 앞","202307","1052","1084"
"은평구","945. 기자촌 사거리 A","202307","175","145"
"은평구","946. 독바위역 ","202307","878","837"
"은평구","947. 연신내 선일하이츠빌 정류소","202307","573","535"
"은평구","948. 디지털미디어 시티역 4번출구(DMC역)","202307","972","987"
"은평구","949. 연신내역 1번 출구 ","202307","1404","1780"
"은평구","950. 구산역 2번 출구 예일여고 버스정류장","202307","1510","1597"
"은평구","952. 서울연신중학교","202307","405","377"
"은평구","953. 서울연신초등학교","202307","539","503"
"강동구","1023. 한국종합기술사옥 앞","202307","2514","2717"
"강동구","1024.  강동구청 앞","202307","3718","3743"
"강동구","1025. 상일초등학교","202307","689","698"
"강동구","1027. 프라자 아파트 앞","202307","1216","1249"
"강동구","1028. 포레스 주상복합 빌딩","202307","2194","2185"
"강동구","1029. 성내어울터","202307","3879","3856"
"강동구","1030. 미호 플랜트 앞","202307","1555","1564"
"강동구","1031. 올림픽로 836(아리수로)","202307","539","742"
"강동구","1032. 선사고등학교","202307","689","761"
"성동구","508. 성수아카데미타워 앞","202307","2367","1893"
"강동구","1033. 고덕동 아남아파트","202307","1354","966"
"강동구","1034. 고덕동 래미안 힐스테이트","202307","360","316"
"강동구","1035. 고덕역 4번출구","202307","257","224"
"강동구","1036. 고덕동 주양쇼핑","202307","1655","1473"
"강동구","1037. 강일리버파크 6단지","202307","296","310"
"강동구","1038. 강일 다솜 어린이 공원","202307","367","386"
"강동구","1039. 고덕초등학교","202307","259","261"
"강동구","1041. 묘곡초등학교","202307","700","696"
"강동구","1042. 강일리버파크 2~5단지","202307","716","770"
"성동구","509. 이마트 버스정류소 옆","202307","2278","2273"
"강동구","1044. 굽은다리역","202307","4874","4905"
"강서구","1150. 송정역 1번출구","202307","3519","3882"
"강서구","1151. 마곡역1번출구","202307","3769","3779"
"강서구","1152. 마곡역교차로","202307","5680","5783"
"강서구","1153. 발산역 1번, 9번 인근 대여소","202307","11381","11262"
"강서구","1155. 기쁜우리복지관","202307","2701","2718"
"강서구","1157. 강서구청","202307","3397","4033"
"성동구","510. 뚝도아리수정수센터 버스정류소 옆","202307","1025","1001"
"송파구","1251. 석촌역 2번출구","202307","3167","3162"
"송파구","1253. 오금역 3번 출구 뒤","202307","782","783"
"송파구","1256. 문정현대아파트 교차로","202307","794","790"
"송파구","1257. 가락시장역 사거리","202307","1425","1411"
"송파구","1258. 가락미륭아파트 앞","202307","446","313"
"송파구","1259. 방이역 1번출구","202307","1860","1845"
"송파구","1260. 방이동 한양3차아파트 옆","202307","1644","1651"
"성동구","511. 서울숲역 5번 출구 옆","202307","1664","1682"
"송파구","1262. 송파여성문화회관 앞","202307","2768","2761"
"송파구","1263. 장지공영차고지","202307","392","384"
"송파구","1264. 천호역 10번 출구 앞","202307","4389","4380"
"송파구","1265. 문정동 근린공원","202307","1406","1399"
"송파구","1266. 문정동 글샘 공원","202307","898","812"
"송파구","1267. 올림픽공원 남2문 앞","202307","1273","1236"
"송파구","1268. 몽촌토성역 1번출구 옆","202307","1686","1685"
"송파구","1269. 리센츠아파트 ","202307","1987","1722"
"송파구","1271. 송파도서관","202307","1204","1207"
"성동구","512. 뚝섬역 1번 출구 옆","202307","2795","2765"
"송파구","1274. 영파여고 앞","202307","1605","1544"
"중랑구","1442. 중랑구 중소기업 창업센터","202307","2595","2734"
"중랑구","1444. 면목4치안센터","202307","1361","1660"
"중랑구","1445. 용마지구대 A","202307","201","266"
"중랑구","1446. 중랑전화국 교차로","202307","2153","2311"
"중랑구","1447. 면목역 3번출구","202307","2965","3219"
"중랑구","1448. 코스트코 상봉점","202307","2337","2345"
"마포구","109. 제일빌딩 앞","202307","1530","1542"
"마포구","400. 상암한화오벨리스크 1차 앞","202307","1598","1652"
"강북구","1526. 강북종합시장 앞","202307","1001","995"
