school,sex,address,famsize,Pstatus,Mjob,Fjob,reason,guardian,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,age,Medu,Fedu,traveltime,studytime,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,classify_Alc
GP,F,U,GT3,T,other,other,home,father,no,yes,no,no,yes,yes,no,no,16,3,3,1,2,4,3,2,1,2,5,0,11,13,Other
GP,M,U,LE3,T,services,other,reputation,mother,no,yes,no,yes,yes,yes,yes,no,16,4,3,1,2,5,4,2,1,2,5,6,12,12,Other
GP,M,U,LE3,T,other,other,home,mother,no,no,no,no,yes,yes,yes,no,16,2,2,1,2,4,4,4,1,1,3,0,13,12,Very Low
GP,F,U,GT3,T,health,other,home,mother,no,yes,no,no,yes,yes,yes,no,16,4,4,1,1,4,4,4,1,2,2,6,17,17,Other
GP,F,U,GT3,T,services,services,reputation,mother,no,yes,no,yes,yes,yes,yes,no,16,4,4,1,3,3,2,3,1,2,2,10,13,13,Other
GP,F,U,GT3,T,other,other,reputation,mother,yes,yes,no,yes,yes,yes,no,no,16,3,3,3,2,5,3,2,1,1,4,2,13,14,Very Low
GP,M,U,LE3,T,health,other,home,father,no,no,no,yes,yes,yes,yes,no,16,4,3,1,1,3,1,3,1,3,5,6,12,12,Other
GP,M,U,LE3,T,teacher,other,course,mother,no,no,no,yes,yes,yes,yes,no,16,4,2,1,2,4,5,1,1,3,5,0,12,13,Other
GP,M,U,LE3,T,other,other,reputation,mother,no,yes,no,yes,yes,yes,yes,no,16,2,2,2,2,5,4,4,2,4,5,2,10,10,Other
GP,F,U,GT3,T,services,services,home,mother,no,yes,no,no,no,yes,yes,no,16,2,2,1,1,1,2,2,1,3,5,6,10,11,Other
GP,M,U,LE3,A,services,other,home,mother,yes,yes,yes,yes,yes,yes,yes,no,16,3,4,1,2,5,3,3,1,1,5,2,12,12,Very Low
GP,M,U,GT3,T,teacher,teacher,home,mother,no,yes,yes,yes,yes,yes,yes,yes,16,4,4,1,2,4,4,5,5,5,5,4,12,11,Other
GP,M,U,GT3,T,other,other,home,mother,no,yes,no,no,no,yes,yes,no,16,3,2,1,1,5,4,3,1,1,5,4,12,12,Very Low
GP,M,R,GT3,A,other,teacher,reputation,mother,no,yes,no,yes,yes,yes,yes,yes,16,4,4,2,3,2,4,3,1,1,5,4,13,13,Very Low
GP,F,U,LE3,T,other,other,home,mother,no,yes,no,yes,no,yes,yes,yes,16,2,2,2,2,3,3,3,1,2,3,16,11,11,Other
GP,F,U,LE3,T,other,at_home,course,father,yes,no,no,yes,yes,yes,yes,no,16,2,2,2,2,4,3,3,2,2,5,14,10,11,Low
GP,F,U,LE3,A,other,services,home,mother,no,yes,no,no,yes,yes,yes,no,16,3,3,1,2,2,3,5,1,4,3,6,13,12,Other
GP,M,U,GT3,T,health,services,reputation,mother,no,no,no,yes,yes,yes,yes,no,16,4,3,1,4,4,2,2,1,1,2,2,17,17,Very Low
GP,F,U,LE3,T,services,services,course,mother,no,yes,no,no,yes,yes,yes,no,16,2,2,3,2,4,3,3,2,3,4,0,14,13,Other
GP,F,U,GT3,A,other,other,other,mother,no,no,no,yes,yes,yes,yes,yes,16,2,1,1,2,5,3,4,1,1,2,2,12,13,Very Low
GP,F,U,GT3,T,services,other,course,mother,no,yes,yes,no,yes,yes,yes,no,16,4,2,1,2,4,2,3,1,1,5,2,16,15,Very Low
GP,F,R,GT3,T,health,teacher,other,mother,no,yes,no,yes,yes,yes,no,no,16,4,4,1,2,2,4,4,2,3,4,0,17,16,Other
GP,F,U,GT3,T,services,services,course,father,yes,yes,no,yes,no,yes,yes,yes,16,1,1,4,1,5,5,5,5,5,5,0,10,10,Other
GP,F,U,LE3,T,other,services,reputation,father,yes,no,no,yes,yes,yes,yes,no,16,1,2,1,2,4,4,3,1,1,1,0,13,13,Very Low
GP,F,U,GT3,T,teacher,health,home,mother,yes,yes,no,yes,yes,yes,yes,no,16,4,3,1,3,3,4,4,2,4,4,0,14,13,Other
GP,F,U,LE3,T,teacher,services,course,mother,no,yes,no,yes,yes,yes,yes,no,16,4,3,3,2,5,4,3,1,2,1,2,16,15,Other
GP,F,U,GT3,T,services,other,course,mother,yes,yes,no,no,yes,yes,yes,no,16,3,1,1,4,4,3,3,1,2,5,0,10,9,Other
GP,M,U,GT3,T,other,other,reputation,father,no,yes,no,no,yes,yes,yes,no,16,3,1,2,4,4,3,2,1,1,5,2,13,11,Very Low
GP,M,U,GT3,T,other,other,reputation,mother,no,no,no,yes,yes,yes,no,no,16,3,1,1,1,5,3,2,2,2,5,0,13,13,Low
GP,F,U,GT3,T,other,services,home,mother,yes,yes,no,yes,yes,yes,yes,no,16,3,3,1,2,4,3,3,2,4,5,4,11,11,Other
GP,F,U,GT3,T,other,other,reputation,mother,no,no,no,no,yes,yes,yes,yes,16,2,2,1,4,5,2,3,1,3,3,1,13,13,Other
GP,F,U,GT3,T,at_home,other,course,mother,no,yes,no,no,yes,yes,yes,no,16,3,4,1,2,2,4,3,1,2,3,14,12,11,Other
GP,F,U,LE3,T,at_home,other,course,mother,no,yes,no,no,yes,yes,no,no,16,2,2,1,2,4,3,4,1,2,2,6,13,11,Other
GP,M,U,GT3,T,services,other,reputation,father,no,no,no,yes,no,yes,yes,no,16,2,2,2,2,4,4,2,1,1,3,6,12,10,Very Low
GP,M,U,LE3,A,teacher,health,reputation,mother,no,yes,no,no,yes,yes,no,no,16,4,4,1,2,4,1,3,3,5,5,6,9,9,Other
GP,F,U,GT3,T,other,other,home,mother,no,yes,no,no,yes,yes,yes,yes,16,3,3,1,3,4,3,3,1,3,4,2,9,11,Other
GP,F,U,LE3,T,other,other,home,father,yes,yes,no,no,yes,yes,no,no,16,3,1,1,2,3,3,3,2,3,2,0,12,13,Other
GP,F,U,GT3,T,teacher,services,home,mother,no,yes,no,yes,yes,yes,yes,no,16,4,2,2,2,5,3,3,1,1,1,2,13,14,Very Low
GP,M,R,GT3,T,services,other,reputation,mother,yes,yes,yes,yes,no,yes,yes,no,16,4,3,2,1,3,3,3,1,1,4,6,9,11,Very Low
GP,F,U,GT3,T,other,other,course,mother,no,yes,no,no,yes,yes,no,yes,16,2,1,1,2,4,3,5,1,1,5,0,13,12,Very Low
GP,F,U,GT3,T,other,other,reputation,mother,no,no,no,yes,no,yes,yes,no,16,4,4,1,1,5,3,4,1,2,1,4,12,13,Other
GP,F,U,GT3,T,other,at_home,course,mother,yes,yes,no,no,yes,yes,yes,no,16,4,3,1,3,5,3,5,1,1,3,2,12,13,Very Low
GP,M,U,GT3,T,services,services,other,mother,yes,yes,no,yes,yes,yes,yes,no,16,4,4,1,1,4,5,5,5,5,4,12,9,9,Other
GP,M,U,GT3,T,services,teacher,other,father,no,yes,no,yes,yes,yes,yes,yes,16,4,4,1,3,4,4,3,1,1,4,0,16,16,Very Low
GP,M,U,GT3,T,services,other,home,father,no,yes,no,yes,yes,yes,yes,no,16,3,3,1,3,5,3,3,1,1,5,4,13,14,Very Low
GP,F,U,LE3,T,health,health,other,mother,no,yes,no,yes,yes,yes,yes,yes,16,4,4,1,3,5,4,5,1,1,4,2,15,15,Very Low
GP,F,R,GT3,T,services,other,reputation,father,yes,yes,no,yes,yes,yes,yes,no,16,3,3,1,3,4,1,2,1,1,2,4,11,11,Very Low
GP,F,U,GT3,T,at_home,other,home,mother,yes,no,no,yes,yes,yes,yes,no,16,2,2,1,2,3,1,2,1,1,5,12,8,10,Very Low
GP,M,U,GT3,T,teacher,teacher,course,father,no,yes,no,yes,yes,yes,yes,no,16,4,4,1,2,5,4,4,1,2,5,6,16,14,Other
GP,M,U,GT3,T,other,services,home,father,no,no,no,yes,yes,yes,yes,no,16,3,3,2,1,5,4,2,1,1,5,6,14,14,Very Low
GP,F,U,LE3,T,other,health,course,father,no,yes,no,yes,yes,yes,yes,yes,16,2,4,2,2,4,2,2,1,2,5,2,14,12,Other
GP,M,U,GT3,T,health,other,course,mother,no,yes,no,yes,yes,yes,yes,no,16,4,4,1,1,3,4,4,1,4,5,4,12,13,Other
GP,F,U,GT3,T,other,other,home,mother,no,no,no,no,yes,yes,yes,yes,16,2,2,1,2,5,4,4,1,1,5,0,12,11,Very Low
GP,M,R,GT3,T,teacher,teacher,course,mother,no,no,no,yes,yes,yes,yes,no,16,4,4,1,1,3,5,5,2,5,4,8,14,14,Other
GP,M,U,GT3,T,other,other,course,mother,no,yes,no,no,no,yes,yes,yes,16,2,3,2,3,3,2,3,2,2,1,4,13,12,Low
